Benchmark,Size_Arg,Approx_Input_GB,Run_ID,Time_ms,Bandwidth_GBs,Faults_Detected_Nsys
Stencil,24000,2.30,23,212.09,N/A,Table Not Found
Stencil,24000,2.30,24,214.02,N/A,Table Not Found
Stencil,24000,2.30,25,212.91,N/A,Table Not Found
Stencil,24000,2.30,26,211.58,N/A,Table Not Found
Stencil,24000,2.30,27,212.40,N/A,Table Not Found
Stencil,24000,2.30,28,211.92,N/A,Table Not Found
Stencil,24000,2.30,29,211.90,N/A,Table Not Found
Stencil,24000,2.30,30,212.26,N/A,Table Not Found
Stencil,24000,2.30,31,211.89,N/A,Table Not Found
Stencil,24000,2.30,32,212.43,N/A,Table Not Found
Stencil,24000,2.30,33,213.87,N/A,Table Not Found
Stencil,24000,2.30,34,212.87,N/A,Table Not Found
Stencil,24000,2.30,35,212.96,N/A,Table Not Found
Stencil,24000,2.30,36,215.09,N/A,Table Not Found
Stencil,24000,2.30,37,213.96,N/A,Table Not Found
Stencil,24000,2.30,38,211.70,N/A,Table Not Found
Stencil,24000,2.30,39,211.52,N/A,Table Not Found
Stencil,24000,2.30,40,212.10,N/A,Table Not Found
Stencil,24000,2.30,41,213.69,N/A,Table Not Found
Stencil,24000,2.30,42,213.24,N/A,Table Not Found
Stencil,24000,2.30,43,212.60,N/A,Table Not Found
Stencil,24000,2.30,44,211.77,N/A,Table Not Found
Stencil,24000,2.30,45,216.68,N/A,Table Not Found
Stencil,24000,2.30,46,213.43,N/A,Table Not Found
Stencil,24000,2.30,47,213.82,N/A,Table Not Found
Stencil,24000,2.30,48,211.98,N/A,Table Not Found
Stencil,24000,2.30,49,214.15,N/A,Table Not Found
Stencil,24000,2.30,50,214.51,N/A,Table Not Found
cuFFT,67108864,0.27,1,24.27,N/A,Table Not Found
cuFFT,67108864,0.27,2,23.70,N/A,Table Not Found
cuFFT,67108864,0.27,3,22.57,N/A,Table Not Found
cuFFT,67108864,0.27,4,23.30,N/A,Table Not Found
cuFFT,67108864,0.27,5,22.70,N/A,Table Not Found
cuFFT,67108864,0.27,6,22.34,N/A,Table Not Found
